year,month,splticrm,nextmonth_return
1999,12,B+,178
1999,12,B-,33
1999,12,BB,126
1999,12,BB+,117
1999,12,BB-,186
1999,12,BBB,216
1999,12,BBB+,185
1999,12,BBB-,183
1999,12,CC,5
1999,12,CCC,11
1999,12,CCC+,22
1999,12,CCC-,2
1999,12,D,31
1999,12,SD,1
2000,1,A,168
2000,1,A+,123
2000,1,A-,142
2000,1,AA,40
2000,1,AA+,9
2000,1,AA-,75
2000,1,AAA,25
2000,1,B,99
2000,1,B+,181
2000,1,B-,33
2000,1,BB,129
2000,1,BB+,121
2000,1,BB-,181
2000,1,BBB,219
2000,1,BBB+,189
2000,1,BBB-,179
2000,1,CC,6
2000,1,CCC,10
2000,1,CCC+,21
2000,1,CCC-,2
2000,1,D,32
2000,1,SD,1
2000,2,A,169
2000,2,A+,122
2000,2,A-,137
2000,2,AA,44
2000,2,AA+,8
2000,2,AA-,75
2000,2,AAA,25
2000,2,B,98
2000,2,B+,181
2000,2,B-,41
2000,2,BB,132
2000,2,BB+,127
2000,2,BB-,181
2000,2,BBB,220
2000,2,BBB+,193
2000,2,BBB-,176
2000,2,CC,6
2000,2,CCC,8
2000,2,CCC+,23
2000,2,CCC-,2
2000,2,D,32
2000,2,SD,1
2000,3,A,163
2000,3,A+,129
2000,3,A-,134
2000,3,AA,41
2000,3,AA+,8
2000,3,AA-,76
2000,3,AAA,25
2000,3,B,92
2000,3,B+,180
2000,3,B-,42
2000,3,BB,130
2000,3,BB+,126
2000,3,BB-,182
2000,3,BBB,219
2000,3,BBB+,196
2000,3,BBB-,180
2000,3,CC,8
2000,3,CCC,9
2000,3,CCC+,22
2000,3,CCC-,2
2000,3,D,32
2000,3,SD,1
2000,4,A,163
2000,4,A+,128
2000,4,A-,132
2000,4,AA,37
2000,4,AA+,9
2000,4,AA-,80
2000,4,AAA,25
2000,4,B,91
2000,4,B+,180
2000,4,B-,48
2000,4,BB,130
2000,4,BB+,123
2000,4,BB-,180
2000,4,BBB,216
2000,4,BBB+,199
2000,4,BBB-,183
2000,4,CC,5
2000,4,CCC,12
2000,4,CCC+,18
2000,4,CCC-,4
2000,4,D,32
2000,4,SD,1
2000,5,A,162
2000,5,A+,126
2000,5,A-,134
2000,5,AA,37
2000,5,AA+,9
2000,5,AA-,79
2000,5,AAA,25
2000,5,B,93
2000,5,B+,183
2000,5,B-,49
2000,5,BB,132
2000,5,BB+,119
2000,5,BB-,177
2000,5,BBB,214
2000,5,BBB+,200
2000,5,BBB-,179
2000,5,CC,5
2000,5,CCC,12
2000,5,CCC+,15
2000,5,CCC-,5
2000,5,D,36
2000,5,SD,1
2000,6,A,157
2000,6,A+,128
2000,6,A-,135
2000,6,AA,36
2000,6,AA+,8
2000,6,AA-,81
2000,6,AAA,24
2000,6,B,94
2000,6,B+,178
2000,6,B-,53
2000,6,BB,125
2000,6,BB+,123
2000,6,BB-,191
2000,6,BBB,213
2000,6,BBB+,202
2000,6,BBB-,180
2000,6,CC,4
2000,6,CCC,10
2000,6,CCC+,16
2000,6,CCC-,5
2000,6,D,37
2000,6,SD,1
2000,7,A,154
2000,7,A+,126
2000,7,A-,140
2000,7,AA,34
2000,7,AA+,9
2000,7,AA-,82
2000,7,AAA,25
2000,7,B,98
2000,7,B+,181
2000,7,B-,52
2000,7,BB,127
2000,7,BB+,120
2000,7,BB-,192
2000,7,BBB,215
2000,7,BBB+,200
2000,7,BBB-,179
2000,7,CC,2
2000,7,CCC,13
2000,7,CCC+,15
2000,7,CCC-,4
2000,7,D,32
2000,7,SD,1
2000,8,A,158
2000,8,A+,127
2000,8,A-,142
2000,8,AA,34
2000,8,AA+,8
2000,8,AA-,74
2000,8,AAA,25
2000,8,B,102
2000,8,B+,182
2000,8,B-,53
2000,8,BB,129
2000,8,BB+,119
2000,8,BB-,188
2000,8,BBB,218
2000,8,BBB+,198
2000,8,BBB-,176
2000,8,CC,6
2000,8,CCC,13
2000,8,CCC+,13
2000,8,CCC-,5
2000,8,D,32
2000,8,SD,1
2000,9,A,156
2000,9,A+,128
2000,9,A-,146
2000,9,AA,35
2000,9,AA+,9
2000,9,AA-,74
2000,9,AAA,25
2000,9,B,97
2000,9,B+,181
2000,9,B-,52
2000,9,BB,128
2000,9,BB+,114
2000,9,BB-,186
2000,9,BBB,217
2000,9,BBB+,201
2000,9,BBB-,181
2000,9,CC,5
2000,9,CCC,15
2000,9,CCC+,16
2000,9,CCC-,4
2000,9,D,28
2000,9,SD,1
2000,10,A,154
2000,10,A+,132
2000,10,A-,152
2000,10,AA,34
2000,10,AA+,8
2000,10,AA-,72
2000,10,AAA,23
2000,10,B,100
2000,10,B+,180
2000,10,B-,56
2000,10,BB,126
2000,10,BB+,112
2000,10,BB-,186
2000,10,BBB,214
2000,10,BBB+,193
2000,10,BBB-,187
2000,10,CC,5
2000,10,CCC,14
2000,10,CCC+,16
2000,10,CCC-,4
2000,10,D,30
2000,10,SD,1
2000,11,A,155
2000,11,A+,128
2000,11,A-,150
2000,11,AA,34
2000,11,AA+,7
2000,11,AA-,71
2000,11,AAA,24
2000,11,B,100
2000,11,B+,181
2000,11,B-,61
2000,11,BB,132
2000,11,BB+,108
2000,11,BB-,182
2000,11,BBB,209
2000,11,BBB+,195
2000,11,BBB-,194
2000,11,CC,3
2000,11,CCC,16
2000,11,CCC+,19
2000,11,CCC-,4
2000,11,D,33
2000,11,SD,1
2000,12,A,154
