year,month,splticrm,nextmonth_return
2000,4,B,-12.278085714285716
2000,4,B+,-3.457495555555557
2000,4,B-,-12.436862500000004
2000,4,BB,-1.1792461538461543
2000,4,BB+,-0.5181577235772356
2000,4,BB-,-5.979989444444446
2000,4,BBB,1.548295370370371
2000,4,BBB+,1.6571160804020086
2000,4,BBB-,0.7765393442622953
2000,4,CC,-16.00208
2000,4,CCC,2.402833333333332
2000,4,CCC+,-18.520644444444443
2000,4,CCC-,-20.506025
2000,4,D,-29.360290625000005
2000,4,SD,-50.7692
2000,5,A,-2.3316037037037
2000,5,A+,-2.275364285714285
2000,5,A-,-2.617214925373134
2000,5,AA,2.2975810810810815
2000,5,AA+,-2.256744444444444
2000,5,AA-,1.3294341772151899
2000,5,AAA,-1.019692
2000,5,B,9.414479569892473
2000,5,B+,4.324472677595628
2000,5,B-,3.523371428571428
2000,5,BB,-0.6266575757575754
2000,5,BB+,3.1849243697478995
2000,5,BB-,4.906432203389831
2000,5,BBB,-0.9245387850467294
2000,5,BBB+,-1.2999525000000012
2000,5,BBB-,0.8564949720670392
2000,5,CC,10.80486
2000,5,CCC,17.899875
2000,5,CCC+,-6.751833333333334
2000,5,CCC-,-2.8864400000000003
2000,5,D,65.03706944444444
2000,5,SD,12.5
2000,6,A,0.37529999999999997
2000,6,A+,2.9092015624999994
2000,6,A-,2.7533325925925927
2000,6,AA,-1.3473027777777786
2000,6,AA+,2.127249999999999
2000,6,AA-,1.4155419753086438
2000,6,AAA,-3.9243166666666665
2000,6,B,-1.9359670212765956
2000,6,B+,0.02679550561797727
2000,6,B-,-5.439650943396227
2000,6,BB,2.7814879999999995
2000,6,BB+,1.2169008130081298
2000,6,BB-,0.7769282722513086
2000,6,BBB,1.0683713615023476
2000,6,BBB+,2.5807524752475253
2000,6,BBB-,3.9190438888888885
2000,6,CC,-11.017525000000001
2000,6,CCC,-10.266739999999999
2000,6,CCC+,-9.365043749999998
2000,6,CCC-,0.9280399999999999
2000,6,D,-0.6864459459459479
2000,6,SD,-13.8889
2000,7,A,4.804760389610389
2000,7,A+,4.142888888888887
2000,7,A-,7.25959071428571
2000,7,AA,1.2250147058823533
2000,7,AA+,-1.7830777777777778
