splticrm,year,month,nextmonth_return
BBB,2003,6,2.699975849056602
BBB,2003,7,3.2047261818181814
BBB,2003,8,0.05554265232974909
BBB,2003,9,5.265143109540638
BBB,2003,10,3.0588846689895464
BBB,2003,11,4.9509351724137955
BBB,2003,12,2.0637216312056745
BBB,2004,1,2.5709480427046243
BBB,2004,2,0.6976150877192983
BBB,2004,3,-3.441345774647888
BBB,2004,4,1.1107421985815602
BBB,2004,5,2.8023007168458807
BBB,2004,6,-1.7034572953736655
BBB,2004,7,1.6986974910394264
BBB,2004,8,2.7143298561151092
BBB,2004,9,2.1190703571428577
BBB,2004,10,6.2376150537634425
BBB,2004,11,2.7523082733812947
BBB,2004,12,-2.104079272727274
BBB,2005,1,3.2632077205882353
BBB,2005,2,-1.0774936170212768
BBB,2005,3,-2.0646603571428583
BBB,2005,4,3.224929136690649
BBB,2005,5,3.0003167272727262
BBB,2005,6,3.297257518796991
BBB,2005,7,-0.3572033707865169
BBB,2005,8,0.8250550561797756
BBB,2005,9,-2.0891545801526705
BBB,2005,10,3.0221479553903325
BBB,2005,11,1.112927472527472
BBB,2005,12,3.382813503649634
BBB,2006,1,0.42659756097560925
BBB,2006,2,2.5439866952789703
BBB,2006,3,0.46869914163090126
BBB,2006,4,-2.5563071729957816
BBB,2006,5,0.5424820083682008
BBB,2006,6,0.4595719148936167
BBB,2006,7,2.4579158119658118
BBB,2006,8,1.7845693965517238
BBB,2006,9,4.746148051948054
BBB,2006,10,3.4198575630252113
BBB,2006,11,1.2060165975103736
BBB,2006,12,2.2686429787234035
BBB,2007,1,-0.39891391304347834
BBB,2007,2,1.6434614035087722
BBB,2007,3,3.4074717488789235
BBB,2007,4,2.861096380090496
BBB,2007,5,-1.5317657534246572
BBB,2007,6,-4.21993891402715
BBB,2007,7,0.23448237885462556
BBB,2007,8,2.958959641255608
BBB,2007,9,2.4365803571428564
BBB,2007,10,-5.305486697247708
BBB,2007,11,-1.2342308755760376
BBB,2007,12,-3.6453842105263186
BBB,2008,1,-0.7501732057416269
BBB,2008,2,-0.5446789473684214
BBB,2008,3,4.473242790697678
BBB,2008,4,3.4752459090909067
BBB,2008,5,-9.405473214285719
BBB,2008,6,0.20187354260089677
BBB,2008,7,1.9818355855855851
BBB,2008,8,-10.236162727272726
BBB,2008,9,-20.672981900452502
BBB,2008,10,-8.295795833333333
BBB,2008,11,3.725720642201836
BBB,2008,12,-8.061538636363634
BBB,2009,1,-10.201912272727276
BBB,2009,2,8.08091576576577
BBB,2009,3,17.146520353982307
BBB,2009,4,7.87807885462555
BBB,2009,5,0.3475982532751096
BBB,2009,6,8.923362331838568
BBB,2009,7,5.784813963963966
BBB,2009,8,4.561233031674207
BBB,2009,9,-2.5767845454545446
BBB,2009,10,5.032289592760179
BBB,2009,11,5.01567117117117
BBB,2009,12,-2.7695825892857138
BBB,2010,1,3.852703125000001
BBB,2010,2,6.233594144144143
BBB,2010,3,3.413370183486239
BBB,2010,4,-6.971557142857143
BBB,2010,5,-4.156448430493274
BBB,2010,6,7.280909417040361
BBB,2010,7,-3.1778224770642187
BBB,2010,8,8.520145205479453
BBB,2010,9,3.6571099547511325
BBB,2010,10,0.5298863013698633
BBB,2010,11,6.804740654205606
BBB,2010,12,1.8735056074766356
BBB,2011,1,3.5975421296296313
BBB,2011,2,0.9189527522935775
BBB,2011,3,3.1854687499999987
BBB,2011,4,-1.2943408888888894
BBB,2011,5,-1.5713097222222228
BBB,2011,6,-3.0117746543778803
BBB,2011,7,-5.694950226244346
BBB,2011,8,-9.51488603603603
BBB,2011,9,13.062526126126134
BBB,2011,10,-1.1453678260869562
BBB,2011,11,1.0647034934497812
BBB,2011,12,5.452475109170306
BBB,2012,1,2.9502367521367505
BBB,2012,2,1.1729179487179482
BBB,2012,3,-0.6072656903765691
BBB,2012,4,-6.953476050420173
BBB,2012,5,3.615783817427387
BBB,2012,6,0.7689863070539414
BBB,2012,7,2.253030452674897
BBB,2012,8,2.6704259259259273
BBB,2012,9,0.05041183673469358
BBB,2012,10,1.1211546938775507
BBB,2012,11,2.6494710743801657
BBB,2012,12,6.355819665271968
BBB,2013,1,0.8131874476987452
BBB,2013,2,3.853865400843881
BBB,2013,3,1.0032516528925624
BBB,2013,4,0.42253055555555535
BBB,2013,5,-2.5488011952191223
BBB,2013,6,4.543496400000004
BBB,2013,7,-2.9066261224489773
BBB,2013,8,4.702745967741934
BBB,2013,9,4.2063408
BBB,2013,10,0.5837718875502005
BBB,2013,11,2.190935856573705
BBB,2013,12,-2.4549302419354833
BBB,2014,1,4.823237698412698
BBB,2014,2,1.4987263157894744
BBB,2014,3,0.8883648760330581
BBB,2014,4,1.7551833333333324
BBB,2014,5,3.1270420833333334
BBB,2014,6,-2.724424166666665
BBB,2014,7,3.455114937759335
BBB,2014,8,-4.723491631799164
BBB,2014,9,2.009286831275718
BBB,2014,10,0.8594434426229509
BBB,2014,11,-0.4227041322314049
BBB,2014,12,-1.2358999999999998
BBB,2015,1,5.052522978723404
BBB,2015,2,-1.1992504237288135
BBB,2015,3,1.39637264957265
BBB,2015,4,-0.10397068965517242
BBB,2015,5,-1.8016728813559315
BBB,2015,6,-0.4153805084745762
BBB,2015,7,-4.897024347826085
BBB,2015,8,-3.977793103448275
BBB,2015,9,8.034788311688311
BBB,2015,10,0.4043150214592271
BBB,2015,11,-3.644769957081545
BBB,2015,12,-4.846655844155842
BBB,2016,1,1.2703677130044846
BBB,2016,2,9.366752678571425
BBB,2016,3,1.583985840707965
BBB,2016,4,1.2587414096916294
BBB,2016,5,0.17302819383259913
BBB,2016,6,3.8192789237668183
BBB,2016,7,0.34198209606986907
BBB,2016,8,0.48531637168141595
BBB,2016,9,-1.7707237885462568
BBB,2016,10,4.468713537117903
BBB,2016,11,2.407479203539821
BBB,2016,12,1.358895045045045
BBB,2017,1,2.581101339285715
BBB,2017,2,0.4820708520179369
BBB+,1998,4,-1.731257894736841
BBB+,1998,5,-2.8220934911242597
BBB+,1998,6,-5.222306547619043
BBB+,1998,7,-14.63774913294797
BBB+,1998,8,7.782453714285712
BBB+,1998,9,6.94851290322581
BBB+,1998,10,2.589226630434782
BBB+,1998,11,3.5064576086956536
BBB+,1998,12,-1.6123877005347602
BBB+,1999,1,-1.6306880434782598
BBB+,1999,2,3.220351851851852
BBB+,1999,3,9.070215789473684
BBB+,1999,4,0.4822040609137056
BBB+,1999,5,3.8746442105263172
BBB+,1999,6,-2.502372486772487
BBB+,1999,7,-3.0870015789473677
